ProductID,price,PreferentialPrice,control_mode,GoodCount,shop_name,CommentCount,p_Name,GoodRateShow,FBnumber,GeneralCount,type,keyword,PoorCount
1069555,329.00,219.00,遥控式,250000,美的两季品旗舰店,260000,美的（Midea）FS40-13ER 五叶遥控落地扇/电风扇,95,5片,6600,落地扇,遥控方便 安装方便 风扇不错 风力很大 质量不错 使用方便 噪音很小 底座很稳 风很柔和 睡眠风不错 质量不错 远程遥控 安全节能 风力很大 噪音很小,4100
1361004,449.00,329.00,遥控式,58000,美的两季品旗舰店,60000,美的（midea）FZ10-15BRW 遥控塔扇/电风扇,97,无叶,1200,塔扇,遥控方便 安装方便 风扇不错 使用方便 质量不错 风很柔和 噪音很小 风力很大 造型美观 底座很稳 造型美观 风扇不错,700
3899679,299.00,208.00,遥控式,31000,格力生活电器旗舰店,32000,格力（GREE）FD-40X64Bh5  五叶遥控落地扇/电风扇,97,5片,500,落地扇,风扇不错 安装方便 遥控方便 质量不错 噪音很小 底座很稳 造型美观 使用方便 风力很大 远程遥控 底座很稳 广角送风 扇网坚固 使用方便 风很柔和,300
1058010,239.00,109.00,机械式,160000,奥克斯电风扇旗舰店,170000,奥克斯（AUX）FS-40-A1613 电风扇/酷黑五扇叶落地扇,96,5片,5500,落地扇，空气循环扇,风扇不错 安装方便 风力很大 质量不错 使用方便 底座很稳 造型美观 风很柔和 安全节能 颜色漂亮 遥控方便 使用方便 安装方便 底座很稳 安装方便 造型美观,2500
4533788,799.00,299.00,遥控式,16000,艾美特生活电器旗舰店,17000,艾美特(Airmate) FT41R 遥控塔扇/电风扇,94,无叶,600,塔扇,造型美观 安装方便 遥控方便 风很柔和 使用方便 风扇不错 质量不错 噪音很小 颜色漂亮 远程遥控,300
595936,299.00,199.00,遥控式,320000,艾美特生活电器旗舰店,330000,艾美特(Airmate) FSW52R 遥控落地扇/电风扇,96,3片,8700,落地扇,风扇不错 安装方便 遥控方便 质量不错 噪音很小 使用方便 风力很大 风很柔和 远程遥控 底座很稳 颜色漂亮 安装方便 遥控方便 风很柔和 质量不错,4000
1077868,319.00,169.00,机械式,70000,美的两季品旗舰店,72000,美的（Midea）FS40-13C 五叶落地扇/电风扇,97,5片,1500,落地扇,风扇不错 质量不错 安装方便 风力很大 噪音很小 使用方便 底座很稳 风很柔和 电机好 声音小,900
829764,309.00,189.00,机械式,170000,艾美特生活电器旗舰店,180000,艾美特(Airmate) FSW65T2-5 五叶落地扇/电风扇,96,5片,5600,落地扇,风扇不错 质量不错 安装方便 风力很大 使用方便 噪音很小 底座很稳 风很柔和 造型美观 安全节能 风力很大 风很柔和 底座很稳 使用方便 安全节能,2400
603496,239.00,148.00,机械式,140000,格力生活电器旗舰店,150000,格力（GREE）FD-4013JD 机械式落地扇/电风扇,96,3片,4400,落地扇,风扇不错 安装方便 质量不错 风力很大 噪音很小 使用方便 底座很稳 风很柔和 声音小 电机好 风力很大 质量不错 安装方便 小清新 厚重耐磨 电机好 使用方便 风扇不错 底座很稳 安装方便 扇网坚固 底座很稳,1700
1182248,4691.00,3790.00,遥控式,1600,戴森官方旗舰店,1600,戴森(Dyson) AM07白银 落地式无叶电风扇/塔扇,97,无叶,30,落地扇，塔扇,造型美观 风扇不错 风很柔和 质量不错 遥控方便 安装方便 安全节能 噪音很小 睡眠风不错 风力很大,10
3998821,199.00,109.00,机械式,93000,先锋两季品旗舰店,97000,先锋（Singfun）大风量电风扇/落地扇 DD1701,96,5片,2700,落地扇,风力很大 安装方便 风扇不错 质量不错 使用方便 底座很稳 造型美观 颜色漂亮 噪音很小 安全节能 噪音很小 安装方便 质量不错 风力很大 广角送风,1400
1093073,268.00,139.00,遥控式,89000,康佳两季品旗舰店,95000,康佳（KONKA）遥控电风扇/落地扇/五扇叶遥控落地扇KF-40LY01,94,5片,4000,落地扇,遥控方便 安装方便 风力很大 风扇不错 质量不错 使用方便 远程遥控 底座很稳 风很柔和 噪音很小,2200
4483862,239.00,169.00,机械式,15000,格力生活电器旗舰店,15000,格力（GREE）FD-4010-WG 五叶机械落地扇 电风扇,97,5片,200,落地扇,风扇不错 安装方便 质量不错 风力很大 使用方便 噪音很小 风很柔和 造型美观 底座很稳 颜色漂亮 噪音很小 底座很稳 安装方便 颜色漂亮 风力很大 广角送风 风很柔和 电机好 底座很稳 噪音很小 底座很稳 扇网坚固 安装方便 使用方便 噪音很小,100
3918861,599.00,219.00,遥控式,11000,艾美特生活电器旗舰店,11000,艾美特(Airmate) FS40103R 五叶遥控落地扇/电风扇,96,5片,200,落地扇,风扇不错 安装方便 遥控方便 造型美观 噪音很小 风很柔和 使用方便 颜色漂亮 风力很大 远程遥控 底座很稳 睡眠风不错 噪音很小 风力很大 风扇不错 颜色漂亮 遥控方便 质量不错 风很柔和 造型美观 风很柔和 睡眠风不错 遥控方便 颜色漂亮 风扇不错,100
