GoodCount,PoorCount,price,type,keyword,CommentCount,GoodRateShow,p_Name,shop_name,PreferentialPrice,GeneralCount,FBnumber,ProductID
250000,4100,329.00,落地扇,遥控方便 安装方便 风扇不错 风力很大 质量不错 使用方便 噪音很小 底座很稳 风很柔和 睡眠风不错 质量不错 远程遥控 安全节能 风力很大 噪音很小,260000,95,美的（Midea）FS40-13ER 五叶遥控落地扇/电风扇,美的两季品旗舰店,219.00,6600,5片,1069555
59000,700,449.00,塔扇,遥控方便 安装方便 风扇不错 使用方便 质量不错 风很柔和 噪音很小 风力很大 造型美观 底座很稳 造型美观 风扇不错,61000,97,美的（midea）FZ10-15BRW 遥控塔扇/电风扇,美的两季品旗舰店,329.00,1200,无叶,1361004
32000,300,299.00,落地扇,风扇不错 安装方便 遥控方便 质量不错 噪音很小 底座很稳 造型美观 使用方便 风力很大 远程遥控 风很柔和 风力很大 噪音很小 广角送风 安装方便 底座很稳 广角送风 扇网坚固 使用方便 风很柔和,33000,97,格力（GREE）FD-40X64Bh5  五叶遥控落地扇/电风扇,格力生活电器旗舰店,208.00,500,5片,3899679
160000,2500,239.00,落地扇，空气循环扇,风扇不错 安装方便 风力很大 质量不错 使用方便 底座很稳 造型美观 风很柔和 安全节能 颜色漂亮 遥控方便 使用方便 安装方便 底座很稳,170000,96,奥克斯（AUX）FS-40-A1613 电风扇/酷黑五扇叶落地扇,奥克斯电风扇旗舰店,109.00,5500,5片,1058010
16000,300,799.00,塔扇,造型美观 安装方便 遥控方便 风很柔和 使用方便 风扇不错 质量不错 噪音很小 颜色漂亮 远程遥控,17000,94,艾美特(Airmate) FT41R 遥控塔扇/电风扇,艾美特生活电器旗舰店,299.00,600,无叶,4533788
320000,4000,299.00,落地扇,风扇不错 安装方便 遥控方便 质量不错 噪音很小 使用方便 风力很大 风很柔和 远程遥控 底座很稳 颜色漂亮 安装方便 遥控方便 风很柔和 质量不错,330000,96,艾美特(Airmate) FSW52R 遥控落地扇/电风扇,艾美特生活电器旗舰店,199.00,8700,3片,595936
70000,900,319.00,落地扇,风扇不错 质量不错 安装方便 风力很大 噪音很小 使用方便 底座很稳 风很柔和 电机好 声音小,72000,97,美的（Midea）FS40-13C 五叶落地扇/电风扇,美的两季品旗舰店,169.00,1500,5片,1077868
170000,2400,309.00,落地扇,风扇不错 质量不错 安装方便 风力很大 使用方便 噪音很小 底座很稳 风很柔和 造型美观 安全节能 风力很大 风很柔和 底座很稳 使用方便 安全节能,180000,96,艾美特(Airmate) FSW65T2-5 五叶落地扇/电风扇,艾美特生活电器旗舰店,189.00,5600,5片,829764
140000,1700,239.00,落地扇,风扇不错 安装方便 质量不错 风力很大 噪音很小 使用方便 底座很稳 风很柔和 声音小 电机好 风力很大 质量不错 安装方便 小清新 厚重耐磨 电机好 使用方便 风扇不错 底座很稳 安装方便 扇网坚固 底座很稳,150000,96,格力（GREE）FD-4013JD 机械式落地扇/电风扇,格力生活电器旗舰店,148.00,4400,3片,603496
1600,10,4691.00,落地扇，塔扇,造型美观 风扇不错 风很柔和 质量不错 遥控方便 安装方便 安全节能 噪音很小 睡眠风不错 风力很大,1600,97,戴森(Dyson) AM07白银 落地式无叶电风扇/塔扇,戴森官方旗舰店,3790.00,30,无叶,1182248
93000,1400,199.00,落地扇,风力很大 安装方便 风扇不错 质量不错 使用方便 底座很稳 造型美观 颜色漂亮 噪音很小 安全节能 噪音很小 安装方便 质量不错 风力很大 广角送风,97000,96,先锋（Singfun）大风量电风扇/落地扇 DD1701,先锋两季品旗舰店,99.00,2700,5片,3998821
89000,2200,268.00,落地扇,遥控方便 安装方便 风力很大 风扇不错 质量不错 使用方便 远程遥控 底座很稳 风很柔和 噪音很小,95000,94,康佳（KONKA）遥控电风扇/落地扇/五扇叶遥控落地扇KF-40LY01,康佳两季品旗舰店,139.00,4000,5片,1093073
15000,100,239.00,落地扇,风扇不错 安装方便 质量不错 风力很大 使用方便 噪音很小 风很柔和 造型美观 底座很稳 颜色漂亮 噪音很小 底座很稳 安装方便 颜色漂亮 风力很大 广角送风 风很柔和 电机好 底座很稳 噪音很小 底座很稳 扇网坚固 安装方便 使用方便 噪音很小,15000,97,格力（GREE）FD-4010-WG 五叶机械落地扇 电风扇,格力生活电器旗舰店,169.00,200,5片,4483862
11000,100,599.00,落地扇,安装方便 风扇不错 遥控方便 造型美观 噪音很小 风很柔和 使用方便 颜色漂亮 风力很大 远程遥控 底座很稳 睡眠风不错 噪音很小 风力很大 风扇不错 颜色漂亮 遥控方便 质量不错 风很柔和 造型美观 风很柔和 睡眠风不错 遥控方便 颜色漂亮 风扇不错,11000,96,艾美特(Airmate) FS40103R 五叶遥控落地扇/电风扇,艾美特生活电器旗舰店,219.00,200,5片,3918861
